Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
120. Metrópolis,1927,2h 33m,A,"8,3","En una ciudad futurista fuertemente dividida entre la clase obrera y los urbanistas, el hijo del cerebro de la ciudad se enamora de una profeta de la clase obrera que predice la llegada de un salvador para mediar sus diferencias.",Brigitte Helm,"1927, 2h 33min, A, Drama, Ciencia ficción, Fritz Lang, Brigitte Helm, Alfred Abel, Gustav Fröhlich","https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR0,0,140,207_.jpg"
121. Snatch. Cerdos y diamantes,2000,1h 44m,18,"8,2","Promotores de boxeo sin escrúpulos, editores violentos, un gánster ruso, ladrones amateur incompetentes, y joyeros supuestamente judíos se enfrentan para seguirle la pista a un preciado diamante robado.",Jason Statham,"2000, 1h 44min, 18, Comedia, Crimen, Guy Ritchie, Jason Statham, Brad Pitt, Stephen Graham","https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY207_CR1,0,140,207_.jpg"
122. 1917,2019,1h 59m,12,"8,2",Dos jóvenes soldados ingleses tienen una misión imposible durante la Primera Guerra Mundial: entregar un mensaje tras las líneas enemigas para evitar que sus compañeros caigan en una trampa.,Dean-Charles Chapman,"2019, 1h 59min, 12, Acción, Drama, Historia, Sam Mendes, Dean-Charles Chapman, George MacKay, Daniel Mays","https://m.media-amazon.com/images/M/MV5BZGQ0OGJiZWEtZWE4NS00NWU3LThiM2QtYzdmMjhhZGM1MjBhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
123. L.A. Confidential,1997,2h 18m,18,"8,2","A medida que la corrupción crece en Los Ángeles de los años 50, tres policías, uno de ellos de carácter estricto, otro brutal y otro sórdido, investigan una serie de asesinatos con su propio estilo de justicia.",Kevin Spacey,"1997, 2h 18min, 18, Crimen, Drama, Misterio, Curtis Hanson, Kevin Spacey, Russell Crowe, Guy Pearce","https://m.media-amazon.com/images/M/MV5BYWNmMzRhYmMtNzYxZS00ZjRlLWFhNDgtZmJlODk3M2E3MDM1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
124. Ladrón de bicicletas,1948,1h 29m,A,"8,3","En la Italia de posguerra, a un humilde trabajador le roban la bicicleta que ha comprado con gran esfuerzo y, desesperado, se lanza a buscarla con su hijo por toda la ciudad.",Lamberto Maggiorani,"1948, 1h 29min, A, Drama, Vittorio De Sica, Lamberto Maggiorani, Enzo Staiola, Lianella Carell","https://m.media-amazon.com/images/M/MV5BNmQzYjI2MTMtZWI2Ni00ZDA1LThlZmYtMmZlZDg1NTVhMTgyXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX140_CR0,1,140,207_.jpg"
125. Hamilton,2020,2h 40m,12,"8,3","La historia de uno de los padres fundadores de los Estados Unidos y primer Secretario del Tesoro, Alexander Hamilton, rodada en directo en Broadway con el reparto original.",Lin-Manuel Miranda,"2020, 2h 40min, 12, Biografía, Drama, Historia, Thomas Kail, Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_QL75_UX140_CR0,0,140,207_.jpg"
126. Taxi Driver,1976,1h 54m,18,"8,2","Un veterano con problemas de salud mental trabaja como taxista en Nueva York, donde su percepción de la decadencia a su alrededor alimenta su deseo de violencia.",Robert De Niro,"1976, 1h 54min, 18, Crimen, Drama, Martin Scorsese, Robert De Niro, Jodie Foster, Cybill Shepherd","https://m.media-amazon.com/images/M/MV5BNGNjZDNmMzAtMGY5NC00YWJiLWI5MTctZmM0ZTY2MmE5YjQ2XkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_QL75_UY207_CR0,0,140,207_.jpg"
127. El hundimiento,2004,2h 36m,18,"8,2",La última secretaria de Hitler relata sus últimos días en su bunker de Berlín al final de la Segunda Guerra Mundial.,Bruno Ganz,"2004, 2h 36min, 18, Biografía, Drama, Historia, Oliver Hirschbiegel, Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes","https://m.media-amazon.com/images/M/MV5BNTdlM2NkM2ItMDQ4Mi00ODJjLWEwMjctNTIzNDJhZjY2NDBmXkEyXkFqcGdeQXVyMTMxODYzNjg@._V1_QL75_UY207_CR2,0,140,207_.jpg"
128. Dangal,2016,2h 41m,A,"8,3",Luchador Mahavir y sus hijas luchadoras buscan la gloria contra la opresión social en los juegos de la Commonwealth.,Aamir Khan,"2016, 2h 41min, A, Acción, Biografía, Drama, Nitesh Tiwari, Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY207_CR4,0,140,207_.jpg"
129. Batman Begins,2005,2h 20m,13,"8,2","Tras entrenar con su mentor, Batman comienza su lucha para liberar a Gotham City de la corrupción.",Christian Bale,"2005, 2h 20min, 13, Acción, Crimen, Drama, Christopher Nolan, Christian Bale, Michael Caine, Ken Watanabe","https://m.media-amazon.com/images/M/MV5BYjJkYzM0MTQtMDViNS00ZTYyLWI4ZDgtODFkOGMwZWU3ODlkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
